Angle_Group,Lines,Required Angle,How preserved
45 degree lines,"C1, C5, D1, D5, E1, E5, F1, F5, CREASE5, CREASE7, CREASE8, CREASE10",45°,Endpoints are calculated with equal X/Y offsets or fixed 45° dynamic anchors.
12 degree H-linked lines,"C2, D2, E4, F2",≈12°,"These slanted lines are part of the C/D/E/F area width rule. Horizontal offset = C_AREA_Width (=H-3). Vertical offset = C_AREA_Width × TAN(12°), preserving 12° while resizing."
12 degree side lines,"G4, I4",≈12°,Corrected from G4-14 to G4-I4. Preserve their dynamic endpoints and angle.
20.85 degree side lines,"G2, I2",20.85°,Offsets 9.5mm x 3.62mm are preserved at side lower connectors.
Vertical W lines,"B2, B4, G3, I3, CREASE6, CREASE9, CREASE13, CREASE16",90°,Only length changes. X coordinate remains fixed or moves as linked anchor.
Vertical H lines,"C3, D3, E3, F3, H2, H3, J2, J3, CREASE11, CREASE12, CREASE14, CREASE15",90° / 0° depending line orientation,These are H-linked primary and mirror/counterpart lines. Length changes with Delta_H while endpoints remain connected to neighboring lines.
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
