Line_ID,Layer,Source_Object,Start_Point,End_Point,X1_dyn_mm,Y1_dyn_mm,X2_dyn_mm,Y2_dyn_mm,Ref_X1_mm,Ref_Y1_mm,Ref_X2_mm,Ref_Y2_mm,DX_mm,DY_mm,Length_mm,Angle_abs_deg,Affected_By,Angle_Rule,Connectivity / Build Note
A1,CUT,CUT_31_object,P016,P015,74.85,22.35,74.85,20.35,74.85,22.35,74.85,20.35,0.00,-2.00,2.00,90.00,Fixed offset linked to L left,Vertical fixed 2mm,Left small vertical at lid start
A2,CUT,CUT_30_object-2,P015,P017,74.85,20.35,66.35,20.35,74.85,20.35,66.35,20.35,-8.50,0.00,8.50,0.00,Linked to L left,Horizontal fixed 8.5mm,Left top short segment
B1,CUT,CUT_30_object,P017,P010,66.35,20.35,65.85,20.35,66.35,20.35,65.85,20.35,-0.50,0.00,0.50,0.00,Linked to L left,Horizontal fixed 0.5mm,Left cover top connector
B2,CUT,CUT_17_object,P010,P004,65.85,20.35,65.85,210.35,65.85,20.35,65.85,210.35,0.00,190.00,190.00,90.00,W,Vertical length = W,Left cover side stretches with W
B3,CUT,CUT_13_object,P020,P009,315.35,20.35,315.85,20.35,315.35,20.35,315.85,20.35,0.50,0.00,0.50,0.00,Linked to L right,Horizontal fixed 0.5mm,Right cover top connector
B4,CUT,CUT_2_object,P009,P003,315.85,20.35,315.85,210.35,315.85,20.35,315.85,210.35,0.00,190.00,190.00,90.00,W,Vertical length = W,Right cover side stretches with W
A7,CUT,CUT_12_object,P021,P020,315.35,12.35,315.35,20.35,315.35,12.35,315.35,20.35,0.00,8.00,8.00,90.00,Linked to L right,Vertical fixed 8mm,Right lid vertical short segment
A8,CUT,CUT_13_object-2,P018,P020,306.85,20.35,315.35,20.35,306.85,20.35,315.35,20.35,8.50,0.00,8.50,0.00,Linked to L right,Horizontal fixed 8.5mm,Right lid short segment
A9,CUT,CUT_35_object,P019,P018,306.85,22.35,306.85,20.35,306.85,22.35,306.85,20.35,0.00,-2.00,2.00,90.00,Linked to L right,Vertical fixed 2mm,Right small vertical at lid start
A5,CUT,CUT_46_object,P011,P012,78.35,0.35,303.35,0.35,78.35,0.35,303.35,0.35,225.00,0.00,225.00,0.00,L,Horizontal length = L - 25mm,Top lid straight segment stretches with L
