Line_ID,Layer,X1,Y1,X2,Y2,Stroke,SVG_Line_Tag,Build Note
A1,CUT,74.85,22.35,74.85,20.35,#ED1C24,"=""<line id=""&CHAR(34)&A2&CHAR(34)&"" x1=""&CHAR(34)&TEXT(C2,""0.00"")&""mm""&CHAR(34)&"" y1=""&CHAR(34)&TEXT(D2,""0.00"")&""mm""&CHAR(34)&"" x2=""&CHAR(34)&TEXT(E2,""0.00"")&""mm""&CHAR(34)&"" y2=""&CHAR(34)&TEXT(F2,""0.00"")&""mm""&CHAR(34)&"" stroke=""&CHAR(34)&G2&CHAR(34)&"" fill=""&CHAR(34)&""none""&CHAR(34)&"" />""",Use dynamic values from Dynamic_Lines; all units are mm
A2,CUT,74.85,20.35,66.35,20.35,#ED1C24,"=""<line id=""&CHAR(34)&A3&CHAR(34)&"" x1=""&CHAR(34)&TEXT(C3,""0.00"")&""mm""&CHAR(34)&"" y1=""&CHAR(34)&TEXT(D3,""0.00"")&""mm""&CHAR(34)&"" x2=""&CHAR(34)&TEXT(E3,""0.00"")&""mm""&CHAR(34)&"" y2=""&CHAR(34)&TEXT(F3,""0.00"")&""mm""&CHAR(34)&"" stroke=""&CHAR(34)&G3&CHAR(34)&"" fill=""&CHAR(34)&""none""&CHAR(34)&"" />""",Use dynamic values from Dynamic_Lines; all units are mm
B1,CUT,66.35,20.35,65.85,20.35,#ED1C24,"=""<line id=""&CHAR(34)&A4&CHAR(34)&"" x1=""&CHAR(34)&TEXT(C4,""0.00"")&""mm""&CHAR(34)&"" y1=""&CHAR(34)&TEXT(D4,""0.00"")&""mm""&CHAR(34)&"" x2=""&CHAR(34)&TEXT(E4,""0.00"")&""mm""&CHAR(34)&"" y2=""&CHAR(34)&TEXT(F4,""0.00"")&""mm""&CHAR(34)&"" stroke=""&CHAR(34)&G4&CHAR(34)&"" fill=""&CHAR(34)&""none""&CHAR(34)&"" />""",Use dynamic values from Dynamic_Lines; all units are mm
B2,CUT,65.85,20.35,65.85,210.35,#ED1C24,"=""<line id=""&CHAR(34)&A5&CHAR(34)&"" x1=""&CHAR(34)&TEXT(C5,""0.00"")&""mm""&CHAR(34)&"" y1=""&CHAR(34)&TEXT(D5,""0.00"")&""mm""&CHAR(34)&"" x2=""&CHAR(34)&TEXT(E5,""0.00"")&""mm""&CHAR(34)&"" y2=""&CHAR(34)&TEXT(F5,""0.00"")&""mm""&CHAR(34)&"" stroke=""&CHAR(34)&G5&CHAR(34)&"" fill=""&CHAR(34)&""none""&CHAR(34)&"" />""",Use dynamic values from Dynamic_Lines; all units are mm
B3,CUT,315.35,20.35,315.85,20.35,#ED1C24,"=""<line id=""&CHAR(34)&A6&CHAR(34)&"" x1=""&CHAR(34)&TEXT(C6,""0.00"")&""mm""&CHAR(34)&"" y1=""&CHAR(34)&TEXT(D6,""0.00"")&""mm""&CHAR(34)&"" x2=""&CHAR(34)&TEXT(E6,""0.00"")&""mm""&CHAR(34)&"" y2=""&CHAR(34)&TEXT(F6,""0.00"")&""mm""&CHAR(34)&"" stroke=""&CHAR(34)&G6&CHAR(34)&"" fill=""&CHAR(34)&""none""&CHAR(34)&"" />""",Use dynamic values from Dynamic_Lines; all units are mm
B4,CUT,315.85,20.35,315.85,210.35,#ED1C24,"=""<line id=""&CHAR(34)&A7&CHAR(34)&"" x1=""&CHAR(34)&TEXT(C7,""0.00"")&""mm""&CHAR(34)&"" y1=""&CHAR(34)&TEXT(D7,""0.00"")&""mm""&CHAR(34)&"" x2=""&CHAR(34)&TEXT(E7,""0.00"")&""mm""&CHAR(34)&"" y2=""&CHAR(34)&TEXT(F7,""0.00"")&""mm""&CHAR(34)&"" stroke=""&CHAR(34)&G7&CHAR(34)&"" fill=""&CHAR(34)&""none""&CHAR(34)&"" />""",Use dynamic values from Dynamic_Lines; all units are mm
A7,CUT,315.35,12.35,315.35,20.35,#ED1C24,"=""<line id=""&CHAR(34)&A8&CHAR(34)&"" x1=""&CHAR(34)&TEXT(C8,""0.00"")&""mm""&CHAR(34)&"" y1=""&CHAR(34)&TEXT(D8,""0.00"")&""mm""&CHAR(34)&"" x2=""&CHAR(34)&TEXT(E8,""0.00"")&""mm""&CHAR(34)&"" y2=""&CHAR(34)&TEXT(F8,""0.00"")&""mm""&CHAR(34)&"" stroke=""&CHAR(34)&G8&CHAR(34)&"" fill=""&CHAR(34)&""none""&CHAR(34)&"" />""",Use dynamic values from Dynamic_Lines; all units are mm
A8,CUT,306.85,20.35,315.35,20.35,#ED1C24,"=""<line id=""&CHAR(34)&A9&CHAR(34)&"" x1=""&CHAR(34)&TEXT(C9,""0.00"")&""mm""&CHAR(34)&"" y1=""&CHAR(34)&TEXT(D9,""0.00"")&""mm""&CHAR(34)&"" x2=""&CHAR(34)&TEXT(E9,""0.00"")&""mm""&CHAR(34)&"" y2=""&CHAR(34)&TEXT(F9,""0.00"")&""mm""&CHAR(34)&"" stroke=""&CHAR(34)&G9&CHAR(34)&"" fill=""&CHAR(34)&""none""&CHAR(34)&"" />""",Use dynamic values from Dynamic_Lines; all units are mm
A9,CUT,306.85,22.35,306.85,20.35,#ED1C24,"=""<line id=""&CHAR(34)&A10&CHAR(34)&"" x1=""&CHAR(34)&TEXT(C10,""0.00"")&""mm""&CHAR(34)&"" y1=""&CHAR(34)&TEXT(D10,""0.00"")&""mm""&CHAR(34)&"" x2=""&CHAR(34)&TEXT(E10,""0.00"")&""mm""&CHAR(34)&"" y2=""&CHAR(34)&TEXT(F10,""0.00"")&""mm""&CHAR(34)&"" stroke=""&CHAR(34)&G10&CHAR(34)&"" fill=""&CHAR(34)&""none""&CHAR(34)&"" />""",Use dynamic values from Dynamic_Lines; all units are mm
A5,CUT,78.35,0.35,303.35,0.35,#ED1C24,"=""<line id=""&CHAR(34)&A11&CHAR(34)&"" x1=""&CHAR(34)&TEXT(C11,""0.00"")&""mm""&CHAR(34)&"" y1=""&CHAR(34)&TEXT(D11,""0.00"")&""mm""&CHAR(34)&"" x2=""&CHAR(34)&TEXT(E11,""0.00"")&""mm""&CHAR(34)&"" y2=""&CHAR(34)&TEXT(F11,""0.00"")&""mm""&CHAR(34)&"" stroke=""&CHAR(34)&G11&CHAR(34)&"" fill=""&CHAR(34)&""none""&CHAR(34)&"" />""",Use dynamic values from Dynamic_Lines; all units are mm
