Point_ID	X_Formula	Y_Formula
P001	Inputs!$B$16	Inputs!$B$19
P002	Inputs!$B$15	Inputs!$B$19
P003	Inputs!$B$16	Inputs!$B$18
P004	Inputs!$B$15	Inputs!$B$18
P005	Inputs!$B$16	Inputs!$B$20
P006	Inputs!$B$15	Inputs!$B$20
P007	Inputs!$B$16	Inputs!$B$21
P008	Inputs!$B$15	Inputs!$B$21
P009	Inputs!$B$16	Inputs!$B$17
P010	Inputs!$B$15	Inputs!$B$17
P011	Inputs!$B$15+12.5	Inputs!$B$17-20
P012	Inputs!$B$16-12.5	Inputs!$B$17-20
P013	Inputs!$B$15+9	Inputs!$B$17+1
P014	Inputs!$B$16-9	Inputs!$B$17+1
P015	Inputs!$B$15+9	Inputs!$B$17
P016	Inputs!$B$15+9	Inputs!$B$17+2
P017	Inputs!$B$15+0.5	Inputs!$B$17
P018	Inputs!$B$16-9	Inputs!$B$17
P019	Inputs!$B$16-9	Inputs!$B$17+2
P020	Inputs!$B$16-0.5	Inputs!$B$17
P021	Inputs!$B$16-0.5	Inputs!$B$17-8
P022	Inputs!$B$16+3	Inputs!$B$18+3
P023	Inputs!$B$16+50	Inputs!$B$18+3
P024	Inputs!$B$16+50	Inputs!$B$19-13
P025	Inputs!$B$16+3	Inputs!$B$19-3
P026	Inputs!$B$15-3	Inputs!$B$18+3
P027	Inputs!$B$15-50	Inputs!$B$18+3
P028	Inputs!$B$15-50	Inputs!$B$19-13
P029	Inputs!$B$15-3	Inputs!$B$19-3
P030	Inputs!$B$16+3	Inputs!$B$20+3
P031	Inputs!$B$16+50	Inputs!$B$20+13
P032	Inputs!$B$16+50	Inputs!$B$21-3
P033	Inputs!$B$16+3	Inputs!$B$21-3
P034	Inputs!$B$15-3	Inputs!$B$20+3
P035	Inputs!$B$15-50	Inputs!$B$20+13
P036	Inputs!$B$15-50	Inputs!$B$21-3
P037	Inputs!$B$15-3	Inputs!$B$21-3
P038	Inputs!$B$16+1	Inputs!$B$19+1
P039	Inputs!$B$16+50	Inputs!$B$19+1
P040	Inputs!$B$16+1	Inputs!$B$20-1
P041	Inputs!$B$16+50	Inputs!$B$20-1
P042	Inputs!$B$16+56	Inputs!$B$20-1
P043	Inputs!$B$16+65.5	Inputs!$B$20-4.62
P044	Inputs!$B$16+65.5	Inputs!$B$19+4.62
P045	Inputs!$B$15-1	Inputs!$B$19+1
P046	Inputs!$B$15-50	Inputs!$B$19+1
P047	Inputs!$B$15-1	Inputs!$B$20-1
P048	Inputs!$B$15-50	Inputs!$B$20-1
P049	Inputs!$B$15-56	Inputs!$B$20-1
P050	Inputs!$B$15-65.5	Inputs!$B$20-4.62
P051	Inputs!$B$15-65.5	Inputs!$B$19+4.62
P052	Inputs!$B$16+65.5	Inputs!$B$19+65.5
P053	Inputs!$B$16+65.5	Inputs!$B$20-65.5
P054	Inputs!$B$15-65.5	Inputs!$B$19+65.5
P055	Inputs!$B$15-65.5	Inputs!$B$20-65.5
