Coordinates relative to Base (0,0):
CUT: (708.7, 680.3) -> (0.0, 680.3)
CUT: (708.7, 0.0) -> (711.5, 2.8)
CUT: (711.5, 2.8) -> (850.4, 2.8)
CUT: (711.5, 535.7) -> (850.4, 535.7)
CUT: (708.7, 538.6) -> (711.5, 535.7)
CUT: (894.3, 13.1) -> (850.4, 2.8)
CUT: (894.3, 525.5) -> (894.3, 13.1)
CUT: (867.4, 535.7) -> (894.3, 525.5)
CUT: (850.4, 535.7) -> (867.4, 535.7)
CUT: (0.0, 0.0) -> (-2.8, 2.8)
CUT: (-2.8, 2.8) -> (-141.7, 2.8)
CUT: (-2.8, 535.7) -> (-141.7, 535.7)
CUT: (0.0, 538.6) -> (-2.8, 535.7)
CUT: (-185.7, 13.1) -> (-141.7, 2.8)
CUT: (-185.7, 525.5) -> (-185.7, 13.1)
CUT: (-158.7, 535.7) -> (-185.7, 525.5)
CUT: (-141.7, 535.7) -> (-158.7, 535.7)
CUT: (708.7, 680.3) -> (717.2, 671.8)
CUT: (717.2, 671.8) -> (850.4, 671.8)
CUT: (850.4, 671.8) -> (850.4, 575.4)
CUT: (717.2, 547.1) -> (850.4, 575.4)
CUT: (708.7, 538.6) -> (717.2, 547.1)
CUT: (0.0, 538.6) -> (-8.5, 547.1)
CUT: (-8.5, 547.1) -> (-141.7, 575.4)
CUT: (-141.7, 671.8) -> (-141.7, 575.4)
CUT: (-8.5, 671.8) -> (-141.7, 671.8)
CUT: (0.0, 680.3) -> (-8.5, 671.8)
CUT: (708.7, -141.7) -> (717.2, -133.2)
CUT: (717.2, -133.2) -> (850.4, -133.2)
CUT: (850.4, -133.2) -> (850.4, -36.9)
CUT: (717.2, -8.5) -> (850.4, -36.9)
CUT: (708.7, 0.0) -> (717.2, -8.5)
CUT: (0.0, -141.7) -> (-8.5, -133.2)
CUT: (-8.5, -133.2) -> (-141.7, -133.2)
CUT: (-141.7, -133.2) -> (-141.7, -36.9)
CUT: (-8.5, -8.5) -> (-141.7, -36.9)
CUT: (0.0, 0.0) -> (-8.5, -8.5)
CUT: (708.7, -680.3) -> (708.7, -141.7)
CUT: (707.2, -680.3) -> (708.7, -680.3)
CUT: (0.0, -680.3) -> (0.0, -141.7)
CUT: (1.4, -680.3) -> (0.0, -680.3)
CUT: (683.1, -674.6) -> (683.1, -680.3)
CUT: (683.1, -680.3) -> (707.2, -680.3)
CUT: (707.2, -703.0) -> (707.2, -680.3)
CUT: (707.2, -703.0) -> (707.2, -680.3)
CUT: (35.4, -737.0) -> (673.2, -737.0)
CUT: (25.5, -680.3) -> (1.4, -680.3)
CUT: (25.5, -674.6) -> (25.5, -680.3)
CREASE: (708.7, 0.0) -> (0.0, 0.0)
CREASE: (0.0, 538.6) -> (708.7, 538.6)
CREASE: (0.0, -141.7) -> (708.7, -141.7)
CREASE: (25.5, -677.5) -> (683.1, -677.5)
CREASE: (711.5, 2.8) -> (894.3, 185.7)
CREASE: (850.4, 2.8) -> (850.4, 535.7)
CREASE: (711.5, 535.7) -> (894.3, 352.9)
CREASE: (-2.8, 2.8) -> (-185.7, 185.7)
CREASE: (-141.7, 2.8) -> (-141.7, 535.7)
CREASE: (-2.8, 535.7) -> (-185.7, 352.9)
CREASE: (708.7, 0.0) -> (708.7, -141.7)
CREASE: (708.7, 680.3) -> (708.7, 538.6)
CREASE: (708.7, 538.6) -> (708.7, 0.0)
CREASE: (0.0, 0.0) -> (0.0, -141.7)
CREASE: (0.0, 680.3) -> (0.0, 538.6)
CREASE: (0.0, 538.6) -> (0.0, 0.0)
